X,Y,CTUID,CTNAME,PRUID,PRNAME,CMAUID,CMAPUID,CMANAME,CMATYPE
-79.391439021821,43.6974560729963,"5350128.04","0128.04","35",Ontario,"535","35535",Toronto,B
-79.2302604431168,43.7815300136615,"5350363.07","0363.07","35",Ontario,"535","35535",Toronto,B
-79.2683840492696,43.7991492570809,"5350378.23","0378.23","35",Ontario,"535","35535",Toronto,B
-79.2539518999348,43.8040995961013,"5350378.24","0378.24","35",Ontario,"535","35535",Toronto,B
-79.2481514896146,43.777706665779,"5350363.06","0363.06","35",Ontario,"535","35535",Toronto,B
-79.4157981877873,43.642073783882,"5350010.01","0010.01","35",Ontario,"535","35535",Toronto,B
-79.4072102058463,43.6432217604787,"5350010.02","0010.02","35",Ontario,"535","35535",Toronto,B
-79.521333879035,43.7118958401142,"5350282.00","0282.00","35",Ontario,"535","35535",Toronto,B
-79.4849571299145,43.7145432261133,"5350284.00","0284.00","35",Ontario,"535","35535",Toronto,B
-79.4754172549444,43.716898431443,"5350285.00","0285.00","35",Ontario,"535","35535",Toronto,B
-79.4587852914486,43.7203893860052,"5350286.00","0286.00","35",Ontario,"535","35535",Toronto,B
-79.4788819183594,43.7029360864505,"5350280.00","0280.00","35",Ontario,"535","35535",Toronto,B
-79.5415466575112,43.7014557230862,"5350239.00","0239.00","35",Ontario,"535","35535",Toronto,B
-79.2208837172335,43.7364984156136,"5350332.00","0332.00","35",Ontario,"535","35535",Toronto,B
-79.2273176064649,43.7278010539129,"5350333.00","0333.00","35",Ontario,"535","35535",Toronto,B
-79.1636808328403,43.7680502867448,"5350360.00","0360.00","35",Ontario,"535","35535",Toronto,B
-79.2655171909548,43.6919421233229,"5350338.00","0338.00","35",Ontario,"535","35535",Toronto,B
-79.306839463738,43.7621126248624,"5350372.00","0372.00","35",Ontario,"535","35535",Toronto,B
-79.3131085433085,43.7584540034818,"5350373.00","0373.00","35",Ontario,"535","35535",Toronto,B
-79.3851517388024,43.6389518540877,"5350012.04","0012.04","35",Ontario,"535","35535",Toronto,B
-79.2236833676658,43.769148857819,"5350365.00","0365.00","35",Ontario,"535","35535",Toronto,B
-79.2352139686367,43.762079001926,"5350366.00","0366.00","35",Ontario,"535","35535",Toronto,B
-79.4459453153199,43.7377163874769,"5350288.00","0288.00","35",Ontario,"535","35535",Toronto,B
-79.4658913891791,43.7313975123728,"5350289.00","0289.00","35",Ontario,"535","35535",Toronto,B
-79.4286919331684,43.747597851589,"5350298.00","0298.00","35",Ontario,"535","35535",Toronto,B
-79.400807710426,43.7609627468445,"5350300.00","0300.00","35",Ontario,"535","35535",Toronto,B
-79.5372638592454,43.7418366668732,"5350313.00","0313.00","35",Ontario,"535","35535",Toronto,B
-79.43017258166,43.7804057448396,"5350318.00","0318.00","35",Ontario,"535","35535",Toronto,B
-79.4277354476834,43.7882773500323,"5350319.00","0319.00","35",Ontario,"535","35535",Toronto,B
-79.5200687880388,43.7268364456398,"5350292.00","0292.00","35",Ontario,"535","35535",Toronto,B
-79.5357472299946,43.7235570496092,"5350293.00","0293.00","35",Ontario,"535","35535",Toronto,B
-79.4901749462837,43.7379688326153,"5350295.00","0295.00","35",Ontario,"535","35535",Toronto,B
-79.3461806589883,43.78198617418,"5350303.00","0303.00","35",Ontario,"535","35535",Toronto,B
-79.2376233906234,43.7119594344556,"5350334.00","0334.00","35",Ontario,"535","35535",Toronto,B
-79.4461349065313,43.7687820608163,"5350309.00","0309.00","35",Ontario,"535","35535",Toronto,B
-79.2784817411533,43.6827606727574,"5350339.00","0339.00","35",Ontario,"535","35535",Toronto,B
-79.4570733412553,43.6706799723668,"5350108.00","0108.00","35",Ontario,"535","35535",Toronto,B
-79.4418408842793,43.6707145859731,"5350109.00","0109.00","35",Ontario,"535","35535",Toronto,B
-79.4478022533732,43.6743583667023,"5350110.00","0110.00","35",Ontario,"535","35535",Toronto,B
-79.4547060003984,43.6792006002274,"5350111.00","0111.00","35",Ontario,"535","35535",Toronto,B
-79.4473830457002,43.680661871302,"5350112.00","0112.00","35",Ontario,"535","35535",Toronto,B
-79.4384933861343,43.6765454589453,"5350113.00","0113.00","35",Ontario,"535","35535",Toronto,B
-79.4295261899911,43.6779929316544,"5350114.00","0114.00","35",Ontario,"535","35535",Toronto,B
-79.4284217626937,43.6730402161697,"5350115.00","0115.00","35",Ontario,"535","35535",Toronto,B
-79.4202068718564,43.6780553956713,"5350116.00","0116.00","35",Ontario,"535","35535",Toronto,B
-79.4061180042428,43.6772196464362,"5350117.00","0117.00","35",Ontario,"535","35535",Toronto,B
-79.2427593754742,43.7241290782221,"5350335.00","0335.00","35",Ontario,"535","35535",Toronto,B
-79.2575942226615,43.7066790592502,"5350336.00","0336.00","35",Ontario,"535","35535",Toronto,B
-79.2877386554887,43.7049560345358,"5350340.00","0340.00","35",Ontario,"535","35535",Toronto,B
-79.2732488485399,43.7067770028265,"5350342.00","0342.00","35",Ontario,"535","35535",Toronto,B
-79.263635391806,43.7111359220796,"5350343.00","0343.00","35",Ontario,"535","35535",Toronto,B
-79.3969257151725,43.6852718362474,"5350121.00","0121.00","35",Ontario,"535","35535",Toronto,B
-79.3996075365845,43.6916927767675,"5350122.00","0122.00","35",Ontario,"535","35535",Toronto,B
-79.3971980016908,43.6944232515942,"5350123.00","0123.00","35",Ontario,"535","35535",Toronto,B
-79.390338215466,43.686739788462,"5350124.00","0124.00","35",Ontario,"535","35535",Toronto,B
-79.3810109943366,43.6899156611655,"5350125.00","0125.00","35",Ontario,"535","35535",Toronto,B
-79.3827759038671,43.6981646380145,"5350126.00","0126.00","35",Ontario,"535","35535",Toronto,B
-79.3825469296239,43.7067426349311,"5350127.00","0127.00","35",Ontario,"535","35535",Toronto,B
-79.4329388833856,43.7031541414483,"5350132.00","0132.00","35",Ontario,"535","35535",Toronto,B
-79.4215075549791,43.7057610399058,"5350133.00","0133.00","35",Ontario,"535","35535",Toronto,B
-79.4133655075297,43.7070241139186,"5350134.00","0134.00","35",Ontario,"535","35535",Toronto,B
-79.3353829818499,43.6472431015809,"5350001.00","0001.00","35",Ontario,"535","35535",Toronto,B
-79.3816734355955,43.6231368659384,"5350002.00","0002.00","35",Ontario,"535","35535",Toronto,B
-79.4180880134684,43.647191413992,"5350043.00","0043.00","35",Ontario,"535","35535",Toronto,B
-79.426363907563,43.6453988272257,"5350044.00","0044.00","35",Ontario,"535","35535",Toronto,B
-79.430172784428,43.6511998426983,"5350045.00","0045.00","35",Ontario,"535","35535",Toronto,B
-79.4349297875222,43.6474968885406,"5350046.00","0046.00","35",Ontario,"535","35535",Toronto,B
-79.4448186490588,43.642592578388,"5350048.00","0048.00","35",Ontario,"535","35535",Toronto,B
-79.4510993236776,43.6422479389545,"5350049.00","0049.00","35",Ontario,"535","35535",Toronto,B
-79.4610897255466,43.6646406369023,"5350100.00","0100.00","35",Ontario,"535","35535",Toronto,B
-79.4678862433774,43.6641082329758,"5350101.00","0101.00","35",Ontario,"535","35535",Toronto,B
-79.4049940669173,43.6597518429297,"5350059.00","0059.00","35",Ontario,"535","35535",Toronto,B
-79.4066460163353,43.6640949283322,"5350060.00","0060.00","35",Ontario,"535","35535",Toronto,B
-79.3974228545659,43.6632418960173,"5350061.00","0061.00","35",Ontario,"535","35535",Toronto,B
-79.3596438155189,43.6494311149697,"5350017.00","0017.00","35",Ontario,"535","35535",Toronto,B
-79.3304302850197,43.6668014264948,"5350027.00","0027.00","35",Ontario,"535","35535",Toronto,B
-79.3499324236201,43.662739649199,"5350029.00","0029.00","35",Ontario,"535","35535",Toronto,B
-79.3600576335428,43.6586791157521,"5350030.00","0030.00","35",Ontario,"535","35535",Toronto,B
-79.4734360301328,43.6567283666886,"5350103.00","0103.00","35",Ontario,"535","35535",Toronto,B
-79.4822777004014,43.654844464467,"5350104.00","0104.00","35",Ontario,"535","35535",Toronto,B
-79.4770605218314,43.6640309002995,"5350105.00","0105.00","35",Ontario,"535","35535",Toronto,B
-79.4724169146341,43.6713719681375,"5350106.00","0106.00","35",Ontario,"535","35535",Toronto,B
-79.463453653899,43.6773354814304,"5350107.00","0107.00","35",Ontario,"535","35535",Toronto,B
-79.4118917326956,43.6804855781904,"5350118.00","0118.00","35",Ontario,"535","35535",Toronto,B
-79.4059238025612,43.6852282236922,"5350119.00","0119.00","35",Ontario,"535","35535",Toronto,B
-79.3955823070463,43.6813194094464,"5350120.00","0120.00","35",Ontario,"535","35535",Toronto,B
-79.3686330324412,43.7320656592472,"5350264.00","0264.00","35",Ontario,"535","35535",Toronto,B
-79.3562305683661,43.6741126687729,"5350070.00","0070.00","35",Ontario,"535","35535",Toronto,B
-79.3475802217842,43.6751417483627,"5350071.00","0071.00","35",Ontario,"535","35535",Toronto,B
-79.3340186163082,43.6712476764011,"5350073.00","0073.00","35",Ontario,"535","35535",Toronto,B
-79.3244317137599,43.6743058028012,"5350074.00","0074.00","35",Ontario,"535","35535",Toronto,B
-79.3269505203052,43.6794545768669,"5350075.00","0075.00","35",Ontario,"535","35535",Toronto,B
-79.3176271960763,43.6822508787026,"5350076.00","0076.00","35",Ontario,"535","35535",Toronto,B
-79.3287520368772,43.6842218520902,"5350082.00","0082.00","35",Ontario,"535","35535",Toronto,B
-79.3393874934596,43.6820290382533,"5350083.00","0083.00","35",Ontario,"535","35535",Toronto,B
-79.3501992062655,43.6806946579931,"5350084.00","0084.00","35",Ontario,"535","35535",Toronto,B
-79.3588434790284,43.6789888888427,"5350085.00","0085.00","35",Ontario,"535","35535",Toronto,B
-79.4046568716621,43.7090824649925,"5350135.00","0135.00","35",Ontario,"535","35535",Toronto,B
-79.3902650803707,43.7137515545981,"5350137.00","0137.00","35",Ontario,"535","35535",Toronto,B
-79.3952956032679,43.7221094751619,"5350138.00","0138.00","35",Ontario,"535","35535",Toronto,B
-79.4165549157785,43.7141321445413,"5350140.00","0140.00","35",Ontario,"535","35535",Toronto,B
-79.4507666016592,43.6352668698817,"5350003.00","0003.00","35",Ontario,"535","35535",Toronto,B
-79.4397922886206,43.6374625069455,"5350004.00","0004.00","35",Ontario,"535","35535",Toronto,B
-79.4304979609775,43.6399115808346,"5350005.00","0005.00","35",Ontario,"535","35535",Toronto,B
-79.4333303955359,43.6359109611965,"5350006.00","0006.00","35",Ontario,"535","35535",Toronto,B
-79.4186284306029,43.6431992871316,"5350009.00","0009.00","35",Ontario,"535","35535",Toronto,B
-79.4027735794231,43.7013529629342,"5350129.00","0129.00","35",Ontario,"535","35535",Toronto,B
-79.4103832359993,43.6959368850283,"5350130.00","0130.00","35",Ontario,"535","35535",Toronto,B
-79.4188891812139,43.6941737952639,"5350131.00","0131.00","35",Ontario,"535","35535",Toronto,B
-79.3663012000031,43.7437280570631,"5350267.00","0267.00","35",Ontario,"535","35535",Toronto,B
-79.3486563066833,43.744793994857,"5350268.00","0268.00","35",Ontario,"535","35535",Toronto,B
-79.4545111252316,43.6505668454826,"5350051.00","0051.00","35",Ontario,"535","35535",Toronto,B
-79.4481119665184,43.6509389935129,"5350052.00","0052.00","35",Ontario,"535","35535",Toronto,B
-79.3946134586516,43.6458444842419,"5350011.00","0011.00","35",Ontario,"535","35535",Toronto,B
-79.3821473013479,43.6485863524001,"5350014.00","0014.00","35",Ontario,"535","35535",Toronto,B
-79.3753810738029,43.6505875222913,"5350015.00","0015.00","35",Ontario,"535","35535",Toronto,B
-79.3638837238071,43.6537516850899,"5350016.00","0016.00","35",Ontario,"535","35535",Toronto,B
-79.3775753775162,43.6692553537111,"5350064.00","0064.00","35",Ontario,"535","35535",Toronto,B
-79.373088694087,43.6652711929054,"5350066.00","0066.00","35",Ontario,"535","35535",Toronto,B
-79.3651043164659,43.6704107915458,"5350067.00","0067.00","35",Ontario,"535","35535",Toronto,B
-79.3622437973265,43.6652329673256,"5350068.00","0068.00","35",Ontario,"535","35535",Toronto,B
-79.3505992092794,43.6692190988903,"5350069.00","0069.00","35",Ontario,"535","35535",Toronto,B
-79.3462953181151,43.6582415363547,"5350018.00","0018.00","35",Ontario,"535","35535",Toronto,B
-79.3347574464938,43.6608241906894,"5350019.00","0019.00","35",Ontario,"535","35535",Toronto,B
-79.315606701071,43.6639644112057,"5350020.00","0020.00","35",Ontario,"535","35535",Toronto,B
-79.4265235908967,43.685357698372,"5350165.00","0165.00","35",Ontario,"535","35535",Toronto,B
-79.3611374873636,43.6619023918342,"5350031.00","0031.00","35",Ontario,"535","35535",Toronto,B
-79.3713881337935,43.6608514461258,"5350032.00","0032.00","35",Ontario,"535","35535",Toronto,B
-79.36952200289,43.6565447613074,"5350033.00","0033.00","35",Ontario,"535","35535",Toronto,B
-79.38495209317,43.6561086678786,"5350035.00","0035.00","35",Ontario,"535","35535",Toronto,B
-79.3924689476685,43.6518394509878,"5350036.00","0036.00","35",Ontario,"535","35535",Toronto,B
-79.3942961190942,43.6563690134604,"5350037.00","0037.00","35",Ontario,"535","35535",Toronto,B
-79.4027917121379,43.6547644095518,"5350038.00","0038.00","35",Ontario,"535","35535",Toronto,B
-79.4419637575709,43.6544158902699,"5350053.00","0053.00","35",Ontario,"535","35535",Toronto,B
-79.4327854740392,43.6564086615025,"5350054.00","0054.00","35",Ontario,"535","35535",Toronto,B
-79.4260458229107,43.6577954898731,"5350055.00","0055.00","35",Ontario,"535","35535",Toronto,B
-79.4207107447884,43.6588574455952,"5350056.00","0056.00","35",Ontario,"535","35535",Toronto,B
-79.414313623986,43.6625121647314,"5350057.00","0057.00","35",Ontario,"535","35535",Toronto,B
-79.4126519031225,43.6581751264015,"5350058.00","0058.00","35",Ontario,"535","35535",Toronto,B
-79.5343358371975,43.6565655872389,"5350224.00","0224.00","35",Ontario,"535","35535",Toronto,B
-79.5274007716754,43.6683004282005,"5350231.00","0231.00","35",Ontario,"535","35535",Toronto,B
-79.3784147749328,43.7216811999118,"5350265.00","0265.00","35",Ontario,"535","35535",Toronto,B
-79.391845768517,43.7386092325263,"5350266.00","0266.00","35",Ontario,"535","35535",Toronto,B
-79.2751417329025,43.7460874268405,"5350352.00","0352.00","35",Ontario,"535","35535",Toronto,B
-79.2936461812413,43.6693598184641,"5350021.00","0021.00","35",Ontario,"535","35535",Toronto,B
-79.2865826325473,43.6764305324809,"5350022.00","0022.00","35",Ontario,"535","35535",Toronto,B
-79.2950968690557,43.6755804830501,"5350023.00","0023.00","35",Ontario,"535","35535",Toronto,B
-79.3046984182031,43.6722344688057,"5350024.00","0024.00","35",Ontario,"535","35535",Toronto,B
-79.3137433050531,43.6713807541613,"5350025.00","0025.00","35",Ontario,"535","35535",Toronto,B
-79.3225441016746,43.6673372282846,"5350026.00","0026.00","35",Ontario,"535","35535",Toronto,B
-79.5065932347844,43.6055294318475,"5350208.00","0208.00","35",Ontario,"535","35535",Toronto,B
-79.3151531263562,43.6773189650091,"5350077.00","0077.00","35",Ontario,"535","35535",Toronto,B
-79.3047698461702,43.6805317191048,"5350078.00","0078.00","35",Ontario,"535","35535",Toronto,B
-79.2925026730994,43.6839643170489,"5350079.00","0079.00","35",Ontario,"535","35535",Toronto,B
-79.401144490731,43.6501080085096,"5350039.00","0039.00","35",Ontario,"535","35535",Toronto,B
-79.4087357463,43.6489931394345,"5350040.00","0040.00","35",Ontario,"535","35535",Toronto,B
-79.4107925897673,43.6535741793299,"5350041.00","0041.00","35",Ontario,"535","35535",Toronto,B
-79.4201173103465,43.6522098149825,"5350042.00","0042.00","35",Ontario,"535","35535",Toronto,B
-79.5018847816902,43.6280968128125,"5350215.00","0215.00","35",Ontario,"535","35535",Toronto,B
-79.3737028272032,43.6837662664517,"5350086.00","0086.00","35",Ontario,"535","35535",Toronto,B
-79.378422909507,43.6771353499224,"5350087.00","0087.00","35",Ontario,"535","35535",Toronto,B
-79.3839613675964,43.6725547910181,"5350088.00","0088.00","35",Ontario,"535","35535",Toronto,B
-79.3920671613476,43.6718516360999,"5350089.00","0089.00","35",Ontario,"535","35535",Toronto,B
-79.3124429827458,43.7207239910286,"5350261.00","0261.00","35",Ontario,"535","35535",Toronto,B
-79.2584665897357,43.7219777073282,"5350345.00","0345.00","35",Ontario,"535","35535",Toronto,B
-79.2794593761999,43.721039154746,"5350347.00","0347.00","35",Ontario,"535","35535",Toronto,B
-79.2917939513715,43.7183114802681,"5350348.00","0348.00","35",Ontario,"535","35535",Toronto,B
-79.3036413811708,43.7339493258318,"5350349.00","0349.00","35",Ontario,"535","35535",Toronto,B
-79.2462746686143,43.7502559265446,"5350354.00","0354.00","35",Ontario,"535","35535",Toronto,B
-79.2291632278854,43.7519810036826,"5350356.00","0356.00","35",Ontario,"535","35535",Toronto,B
-79.397349259142,43.7309382284445,"5350142.00","0142.00","35",Ontario,"535","35535",Toronto,B
-79.4929027305691,43.654395836667,"5350150.00","0150.00","35",Ontario,"535","35535",Toronto,B
-79.3191506789838,43.6862595377334,"5350081.00","0081.00","35",Ontario,"535","35535",Toronto,B
-79.3927449749519,43.6768342578445,"5350090.00","0090.00","35",Ontario,"535","35535",Toronto,B
-79.4092750778844,43.6703076370148,"5350092.00","0092.00","35",Ontario,"535","35535",Toronto,B
-79.4165415357371,43.6687536209868,"5350093.00","0093.00","35",Ontario,"535","35535",Toronto,B
-79.5264750740771,43.6965093860231,"5350241.00","0241.00","35",Ontario,"535","35535",Toronto,B
-79.4132958114658,43.7417345006941,"5350275.00","0275.00","35",Ontario,"535","35535",Toronto,B
-79.4229352473686,43.7160163853423,"5350277.00","0277.00","35",Ontario,"535","35535",Toronto,B
-79.4351102870998,43.7125624341664,"5350278.00","0278.00","35",Ontario,"535","35535",Toronto,B
-79.3874058432102,43.6419716031488,"5350012.03","0012.03","35",Ontario,"535","35535",Toronto,B
-79.5012273164482,43.6625414075235,"5350151.00","0151.00","35",Ontario,"535","35535",Toronto,B
-79.4886138659747,43.6630594362294,"5350152.00","0152.00","35",Ontario,"535","35535",Toronto,B
-79.4912013327476,43.6688881379329,"5350153.00","0153.00","35",Ontario,"535","35535",Toronto,B
-79.313124132987,43.7121184684075,"5350192.00","0192.00","35",Ontario,"535","35535",Toronto,B
-79.3260461661378,43.706142825302,"5350193.00","0193.00","35",Ontario,"535","35535",Toronto,B
-79.4906136330553,43.6174757736262,"5350201.00","0201.00","35",Ontario,"535","35535",Toronto,B
-79.4930218111806,43.6090589067083,"5350202.00","0202.00","35",Ontario,"535","35535",Toronto,B
-79.4976653201301,43.6082741247987,"5350203.00","0203.00","35",Ontario,"535","35535",Toronto,B
-79.188719668685,43.7731798062058,"5350359.00","0359.00","35",Ontario,"535","35535",Toronto,B
